  المصطلح الإنجليزي,المصطلح العربي,ملاحظات وأمثلة,تصنيفات,شاهد,الاسم
 -parallel execution pipes, خطوط تنفيذ (متوازية),,حوسبة,,
 ' (Single Quote),إشارة تنصيص (منفردة),,حوسبة,,
_ under score,شَرطَة سُفلية,,حوسبة,,
- (hyphen / dash),شَرطَة,,حوسبة,,
",",فاصلة (انجليزية),,حوسبة,,
;,فاصلة منقوطة (انجليزية),,حوسبة,,
!,إشارة التعجب,,حوسبة,,
.,نقطة,,حوسبة,,
""" (Double Quote)",إشارة تنصيص مزدوجة,,حوسبة,,
@,إشارة البريد,,حوسبة,,
*,إشارة النجمة,,حوسبة,,
/,شرطة مائلة أمامية,,حوسبة,,
\,شرطة مائلة خلفية,,حوسبة,,
&,إشارة مع,,حوسبة,,
#,إشارة المربع,,حوسبة,,
%,نسبة مئوية,,حوسبة,,
^,أشارة الطاقية,,حوسبة,,
=,إشارة مساواة,,حوسبة,,
|,إشارة العصا,,حوسبة,,
$,إشارة الدولار,,حوسبة,,
About,حول,,حوسبة,,
access,وصول,,أمن,,
Action,إجراء,,برمجة,,
active - inactive,فَعّال - خامِل,,حوسبة,,
Admin App,تطبيق المدير / ادارة النظام,,عام,,
Administrator - Administration,مُدير - إدارَة,,حوسبة,,
Affiliate Network,شبكات مُرتبطة,,عام,,
alarm,تَنبيه - مُنَبِّه,,حوسبة,,
alert,إنذار,,حوسبة,,
Already,بالفعل، مُسبقا، قد سبق أن، آنفا,,عام,,
Antidote,تِرياق,,حوسبة,,
Application Programming Interface,واجهة برمجية,,برمجة,,
architecture,مِعمارية,,حوسبة,,
assign - assignment - assigned,يُعيّن - تَعيين - مُعَيَّن,,حوسبة,,
atomic,كتلة واحدة,"قطعة (دفعة) واحدة لا تقبل التقسيم ( من النص المصدري والبيانات).
دفعة واحدة من العمليات تُنَفّذ كوحدة واحدة لا تقبل التقسيم.",حوسبة,,
Attache - attachment,يُلحِق - مُلحَق,,حوسبة,,
attitude,مسلك,,عام,,
authenticate - authentication,يَتَحَقق - تحقق من الهوية,,أمن,,
authorize - authorization - authorized,يُخَوِّل - تَخويل - مُخَوَّل,,أمن,,
Auto complete,إكمال تِلقائي,,حوسبة,,
auto script , مهمة آلية,,إدارة أنظمة,,
Automatic,تِلقائي,,عام,,
background, خَلفية,,عام,,
backup,احتياط,"نسخة احتياطية، خطة احتياطية : backup copy, backup plan",عام,,
Behavior,سُلوك,,عام,,
benchmark,قياس أداء معياري,,إدارة أنظمة، برمجة,,
binary,ثنائي ,النظام الثنائي، ملف ثنائي (بهيئة ثنائية),حوسبة,,
Blocker ticket , تَذكِرة سَدّادَة,,ضبط جودة,,
blog,مُدَوِّنَة,,شابكة,,
board,لَوح,,عام,,
Body,بَدن,,حوسبة,,
Boolean,منطِقي, مُتغير منطِقي,برمجية,,
Branch,فرع,,إدراة نص مصدري,,
brand,علامة تجارية,,عام,,
Brightness,إضاءة,,واجهة مستخدم,,
Bug,ثَغرة,,ضبط جودة,,
Business Rules,قواعد الأعمال,,توثيق,,
byte,الثُمانية,حجم الملف مئة ألف ثُمانية,عام,,
cache,تَخزين مؤقت,تخزين مؤقت لغايات الوصول السريع للبيانات,حوسبة,,
camera , قُمرَة أو آلة تصوير,,عام,,
Carbon Copy (CC),نُسخَة كَربونية,,حوسبة,,
cascade,تتابع,حذف متتابع Casdcaded delete,قواعد البيانات,,رشا
category,تصنيف,,عام,,
character,مِحرف,,حوسبة,,
Chat,مُحادثة,,واجهة مستخدم,,
check,تأكُّد,,عام,,
check  - uncheck - checkbox,عَلّمَ - أزال العلامة - صندوق العلامة,,قاعدة بيانات، برمجة، واجهة مستخدم,,
check list,قائمة تحقق,,ضبط جودة,,
class , فِئة,,برمجة,ولم تكن له فئة ينصرونه من دون الله وما كان منتصرا,
clear,مسح,,حوسبة,,
Click,نَقرَة,,واجهة مستخدم,,
Cluster,عُنقود,وتجمع على عناقيد,إدارة أنظمة,,
code,رَمز,,حوسبة,قال آيتك ألا تكلم الناس ثلاثة أيام إلا رمزا,
Code Review,مُراجعة النص المصدري,,إدارة النص المصدري,,
coloumn , عامود,و تجمع على أعمدة,قواعد بيانات,,
command , تعليمة,,إدارة أنظمة,,
command line , سطر الأوامر,,إدارة أنظمة,,
comment,تعليق,التعليق على النص المصدري وتعليق النص المصدري,برمجة,,
commit,اعتماد,"رمز الاعتماد commit (hash) code
مجموعة التغييرات
",إدارة النص المصدري,,
Compile - Compiler ,تجميع - مُجَمِّع,,برمجة,,
Computer,حاسوب,,حوسبة,,
condition,حالة - شرط,,برمجة,,
Conduit toolbar,شريط الادوات,,واجهة مستخدم,,
Configuration,إعدادات,,إدارة أنظمة، برمجة,,
confirmation message,رسالة تأكيد,,واجهة مستخدم,,
Conflict,تضارب,,إدارة نص مصدري,,
Confluence,الملتقى ,,عام,,روان 
confused - confusion,مُشوش - تشويش,,عام,,
congestion,ازدحام,,شابكة,,
"console (terminal , shell) ", مُحاوِِرَة( طرفية، صدفة),,إدارة أنظمة,,
Constant,ثابِت,,برمجة,,
constraint , قَيد, وجمعها قيود,قواعد بيانات,,
Contact - Contacts / Contact Details,اتصال - بيانات اتصال لشخص أو أشخاص,,عام,,
Contrast,تباين (ضوئي أو لوني),,واجهة مستخدم,,
Controller,مُتَحَكِّم,,برمجة,,
cookie , كَعكة,,شبكات,,
"copy, cut , and paste",نسخ و قص و لصق,,حوسبة,,
core,نواة,,حوسبة,,
coupon,قَسيمة,,عام,,
coverage,تغطية,,برمجة,,
cpu,مُعالج,,حوسبة,,
Crash,انهيار,,حوسبة,,
crawler,زحّاف,,شابكة,,
create - creation,يُنشِئ - إنشاء,,حوسبة,,
Credentials,معلومات اعتماد/ اثبات ,معلومات اعتماد المستخدم ( البريد الاكتروني / كلمة السر ),توثيق ,,روان
Critical , حَرجَِة,,ضبط جودة,,
Cursor,مؤشِرَة,,حوسبة,,
Customize ,تَخصيص,,حوسبة، واجهة مستخدم,,
"cycle, life-cycle",دورة، دورة حياة,,حوسبة,,
data ,  بيانات ,,حوسبة,,
Data Integirty,نزاهة البيانات,,قواعد بيانات,,
database , قاعدة بيانات ,,قواعد بيانات,,
deadline,موعد نهائي,,عام,,
Deal Scout,كَشّاف الصفقات,,كنغر أزرق,,
default,مُفتَرَضَة,,حوسبة,,
delta,الفرق,,حوسبة,,
design ,تصميم,,واجهة مستخدم,,
Development Framework,إطار تطوير,,برمجة,,
Devevlopment Environment,البيئة التجريبية,,إدارة أنظمة، ضبط جودة,,
disable,تَعطيل,,حوسبة,,
display - presentation ,عَرض,,حوسبة,,
Distinct,مُتَمايِّز,,قواعد بيانات,,
div(ision) ,قِسم,,واجهة مستخدم,,
Document,وثيقة,,حوسبة,,
Domain,نطاق,,شبكات,,
Domain Name System,نظام اسماء النطاقات,,شبكات,,
Download,تنزيل,,شبكات,,
Drawing,رسمة,,حوسبة,,
Drop Down List,القائِمَة المُنسَدِلَة,,واجهة مستخدم,,
Dump,تَفريغ أو طرح للبيانات,"إنشاء تفريغ، استرجاع التفريغ
Create and restore dump",قاعدة بيانات,"حتى إذا جعله نارا قال آتوني أفرغ عليه قطرا
ولما برزوا لجالوت وجنوده قالوا ربنا أفرغ علينا صبرا وثبت أقدامنا",
duplicate,مُتَكَرّر - تِكرار,,حوسبة,,
Effects,مُؤثرات,,واجهة مستخدم,,
Email , رسالة بريد إلكتروني، بريد إلكتروني.,رسالة  (اذا سمح السياق بذلك),شابكة,,
empty,فارغ,,حوسبة,,
Emulator,مُحاكي,,برمجة,,
enable,تمكين,,حوسبة,,
encode,يرمز - ترميز,,حوسبة,,
encrypt - encryption,يعمي - تعمية,,حوسبة,,
"Enter, Alt, Ctrl, Escape ... Key",مفتاح الإدخال، التبديل، التحكم، الخروج، ,,حوسبة,,
enumeration / enum,تعداد,,برمجة,,
error message,رسالة خطأ,,واجهة مستخدم,,
Esculate,تَصْعيد,,إدارة أنظمة,,
Exception,استثناء,,برمجة,,
Exclude - Excluded,استبعاد - مُبعَد,,عام,,
exclude - exculsive,استبعاد - حصري,,عام,,
execute , تنفيذ,,حوسبة,,
exit,خروج,,حوسبة,,
Explore,يستكشف,,عام,,
Export,تصدير,,حوسبة,,
Fallback,تراجع,خوارزمية التراجع fallback algorithm,عام,,
fash (message),(رسالة) خاطفة,,واجهة مستخدم,,
feature,خاصية - و تجمع على خصائص,,حوسبة,,
Feedback,رسالة تعليق - تغذية راجعة,,حوسبة,,
field , حَقل,,قواعد بيانات,,
file,ملف,,حوسبة,,
File System,مَنظومة تَخزين الملفات,,حوسبة,,
filter,مُصَفّي - تصفية,,حوسبة,,
flag - flagged,عَلَم، تَعليم، مُعَلَّم,,حوسبة,,
flash memory,الذاكرة الخاطفة,,حوسبة,,
Flush - Flush All,تنظيف فوري - تنظيف فوري كامل,,برمجة,,
folder,مُجَلّد,,إدارة أنظمة,,
Following,لَحاق,,عام,,
footer,تَذييل,,واجهة مستخدم,,
Form,استِمارة,,حوسبة,,
Format,الهيئة - تهيئة,,واجهة مستخدم,,
Forum,مُنتدى,,حوسبة,,
Forward,يُمَرِّر - تَمرير,,حوسبة,,
function,تابِع,,برمجة,,
Functionality Matrix,مصفوفة الوظائف ,,توثيق,,روان 
Gap,فَجوة,,عام,,
Geographical Positioning System,نظام تحديد الموقع,,حوسبة,,
grid,شبكة,,واجهة مستخدم,,
Guide , دَليل,,توثيق,,
Guide lines , المبادئ المَرجعية,,توثيق,,
Hang - freez,شَلل,,حوسبة,,
Hardcoded,قيمة مُثَبَّتة,,برمجة,,
"Harddisk, storage unit",وحدة التخزين - القرص الصلب,,حوسبة,,
Hash,تهشير,,برمجة,,
header,ترويسة,,واجهة مستخدم,,
Hide - hiding,يُخفي - إخفاء,,عام,,
Hierarchy ,تَسَلسُل هَرَمي,,عام,,
High level,مُستَوى رَفيع,,عام,,
Hit,ضَربَة,,حوسبة,,
Home / Index page,الصفحة الرئيسة,,حوسبة,,
Hyper Text Markup Language - HTML,لغة توصيف النصوص المترابطة - هتمل,,شابكة,,
Icon,أيقونة,,واجهة مستخدم,,
identifier (aka id) ,مُعَرِّف,,قواعد بيانات,,
identify,يُعَرِّف,,أمن,,
ignore,تَجاهُل,,عام,,
Image,صورة,,حوسبة,,
imminent,وشيك (الحدوث),,عام,,
import,استيراد,,حوسبة,,
Inbox,صُندوق الوارد ,,شابكة,,
Include - included,إدراج - مُدرَج ,,عام,,
include - inclusive,مُتزايد - متراكم,,عام,,
incremental,,,حوسبة,,
index - indexing,فَهرَس - فَهرَسة,,برمجة,,
infinite loop,حلقة لا نهائة,,برمجة,,
input(s) , مُدخَلات,,حوسبة,,
Install - uninstall ,تَنصيب - إزالة,,إدارة أنظمة,,
Instant message , رسالة فَورية,,شابكة,,
Integer (int),رَقم صَحيح,,برمجة,,
integration,اندماج,,حوسبة,,
Integrity,نَزاهَة, البيانات نزيهة أي لا تشوبها أخطاء,قواعد بيانات,,
intermittent,(بشكل) متقطع,,عام,,
internet,شابِكة,,حوسبة,,
IP (Internet Protocol) Address,عنوان شبكة,,شبكات,,
isolated ,مُنعَزِل,,حوسبة,,
Issue,مسألة,الأمر موضع السؤال والبحث,ضبط جودة ,,
join,ضَم,,قواعد بيانات,,
key,مِفتاح,,برمجة، قواعد بيانات,,
Keyword,كلمة مِفتاحية,,حوسبة,,
Label,مُلصق ,,عام,,
Laptop,حاسوب (حضني),,حوسبة,,
Layer,طبقة,,برمجة,,
layout,مُخَطَط التصميم,,واجهة مستخدم,,
library,مكتبة,,برمجة,,
light - dark,فاتح - غامق,,واجهة مستخدم,,
link , رابِط,,شبكات,,
list , قائمة,,حوسبة,,
load - upload,تَحميل,,شبكات,,
load average,مُعَدَّل الحمل,,إدارة أنظمة,,
Load balancer,موَّزع الأحمال,,إدارة أنظمة,,
local,محلي - محل,,حوسبة,,
Location,موقع,,إدارة أنظمة، برمجة,,
log,سِجل الأحداث,,إدارة أنظمة، برمجة,,
Log in / sign in - Log out,ولوج - خروج,,واجهة مستخدم,,
Logic,مَنطِق,,برمجة,,
logo,شِعار,,عام,,
loop,حَلَقة,,برمجة,,
Low level,مُستوى دقيق,,عام,,
mailing list,قائمة بريدية,,تراسل,,
Maintenance,صيانة,,إدارة أنظمة,,
Major , مُهِمَّة,,ضبط جودة,,
map reduce algorithm , خوارزمية التوزيع والتجميع,,برمجة,,
maping - map,جدول مقابلة - عملية مقابلة,,برمجة,,
Market,سوق ,,عام,,
Match,مُقابلة,,عام,,
matrix , مَصفوفة,,برمجة,,
Member,عُضو,,عام,,
Memory stick,أصبع الذاكرة,,حوسبة,,
menu , لائحة,,واجهة مستخدم,,
merge,دَمج,,إدارة نص مصدري,,
message envelope,مُغَلّف الرسالة,,برمجة,,
Microphone,لاقِط,,حوسبة,,
Minor , مُتَدنيّة الأهمية,,ضبط جودة,,
Mobile,(هاتف) جوّال,,حوسبة,,
Mode,وَضعية,,حوسبة,,
Model,نَموذج,,برمجة,,
modifications,تَعديلات,,عام,,
Module,وِحدة برمجية,,برمجة,,
Mouse,فأرة,,حوسبة,,
mutually execlusive,منحصر (على واحد دون الآخرين),,عام,,
Native,أصيل,برمجية أصيلة.,حوسبة,,
Navigate,يَتَصَفّح,,حوسبة,,
Newseltter,نشرة اخبارية,,شابكة,,
normalize - normalized,يختصر - يجعله مُختَصرا,,برمجة,,
notice,بَلاغ,,حوسبة,,
notification,إشعار,,حوسبة,,
null,مُنعَدم,مشتقة من العدم وهو يختلف اصطلاحا عن الفراغ,قواعد بيانات، برمجة,,
object,كينونة,,برمجة,,
offer,عَرض,,عام,,
Offer tile,بلاطة العرض,,عام,,
online - offline,مُتوافر - غير متوافر (على الشبكة),,شبكات,,
Operating System,نظام تشغيل,,حوسبة,,
opt in - opt out / Subscribe - unsubscribe,يشترك - ينفصل,,واجهة مستخدم,,
optimize - optimal, تَحسين / الأمثل  ,,برمجة,,
outputs , مُخرجات,,حوسبة,,
Overlap,يتراكَب,يغطي بعضه بعضا,عام,,
overload,حِمل زائد,,إدارة أنظمة,,
override,يُهَيمِن,,حوسبة,وأنزلنا إليك الكتاب بالحق مصدقا لما بين يديه من الكتاب ومهيمنا عليه,
Overview,نظرة موجزة,,عام,,
Package ,حُزمَة ,,حوسبة,,
packet,عبوة أو رزمة,,شبكات,,
Page,صفحة,,واجهة مستخدم,,
Pagination,jترقيم صفحات,,إدارة أنظمة، ضبط جودة,,روان
parallel , تَوازي,,حوسبة,,
parameters , مُعاملات - مفردها معامل ,و ترتبط على الغالب بالتوابع البرمجية.,حوسبة,,
Parse,تَحليل السِلسِلة ,تحليل سلسلة المحارف,برمجة,,
Partial (view),مَشهَد جُزئي,,واجهة مستخدم,,
Password,كلمة السر,,واجهة مستخدم,,
Patch,رُقعَة,رقعة برمجية (نص مصدري),إدارة نص مصدري,,
path , مَسار,,شبكات ، إدارة أنظمة,,
Pattern,نَمَط,,عام,,
performance,أداء,,حوسبة,,
permission,إذن,,أمن,,
Photo,صورة ضوئية,,حوسبة,,
pipes , خُطوط,,حوسبة,,
pixel,عَنصورَة أو نُقطة,عنصورة ... مشتقة من عنصر صورة من الإنجليزية Picture Element,واجهة مستخدم,,
Poll,استفسار,,حوسبة,,
pop-up window,نافِذَة مُنبَثِقة,,واجهة مستخدم,,
Port,مَنفَذ,,شبكات,,
Post,إرسال - منشور,بحسب السياق,حوسبة,,
Preferences,تفضيلات,,حوسبة,,
Preview,مُعايَنة,,حوسبة,,
private,خاص,,عام,,
process , عملية,,حوسبة,,
Production, البيئه الحيه,,إدارة أنظمة ,,
profiling,قياس أداء,,برمجة,,
program - software,برمجية - برمجيات,,حوسبة,,
projector,جهاز إسقاط,,حوسبة,,
Promotion - promotional,ترويج - ترويجي,,عام,,
Proof of Concept,نموذج أولي (للتحقق من قابلة الفكرة للتطبيق),,برمجة,,
Protocol,مَراسِم الاتصال,,برمجة ، إدارة أنظمة,,
pull,جَلب,,إدارة نص مصدري,,
Push,دفع,,إدارة نص مصدري,,
Quality Control,ضبط الجودة,,ضبط جودة,,
query , استعلام,,قواعد بيانات,,
Queue,رتل,,برمجة,,
race condition,حالة سباق,,برمجة,,
range,مدى,,حوسبة,,
Recommendation Engine ,محرّك توصيات ,,حوسبة,,
Recommended,مُوصَى به ,,عام,,
record,سِجِل,,قواعد بيانات، برمجة,,
Recursion,استدعاء ذاتي,,برمجة,,
Redirect,إعادة توجيه,,حوسبة,,
Reference , مَرجِع,,برمجة، توثيق,,
Referential Integrity,نزاهة الروابط,,قواعد بيانات,,
Refresh,إعادة تحميل ,,حوسبة,,
refresh,إنعاش,,حوسبة,,
Registration - register - sign up,تَسجيل,,واجهة مستخدم,,
Regular Expression,تعبير اعتيادي (تعابير اعتيادية),,برمجة,,
related , مُرتبط,,قواعد بيانات,,
relation , ارتباط,,قواعد بيانات,,
Relational Database Management System , قاعدة بيانات مترابطة,,قواعد بيانات,,
release,إصدار - إصدارة,,إدارة أنظمة,,
release candidate,إصدارة مرشحة,,إدارة أنظمة ، ضبط جودة,,
Relevency,ارتباط,,عام,,
Relevency Level,مستوى الارتباط,,حوسبة,,
Reliable - Reliability,مَوثوق - موثوقية,,عام,,
Remove - delete,حَذف,,حوسبة,,
Render,تَصيير,,واجهة مستخدم,,
Replication,استنساخ - نسخ مطابق,,قواعد,,
Reply,رَد,,حوسبة,,
report,تقرير,,حوسبة,,
repository,مُستودع,,إدارة نص مصدري,,
repoter ,مُبَلِّغ ,,ضبط جودة ,,
reproducible,قابل للتوليد,,ضبط جودة,,
Reset,إعادة ضبط,,حوسبة,,
Resize,تحجيم,,واجهة مستخدم,,
resourceful,واسع الحيلة,,عام,,
"Resume, CV",سيرة ذاتية,,عام,,
Review,مُراجعة,,عام,,
rollback,تراجُع,,قواعد بيانات، إدارة أنظمة، برمجة,,
RSS feed,خدمة مقتطفات الأخبار,,حوسبة,,
rule,قاعدة,,حوسبة,,
Run,تَشغيل,,حوسبة,,
Save,تَخزين,,حوسبة,,
scalable,قابل للتوسع - متوسع,,إدارة أنظمة,,
scenario,سَرْد," رواية الأحداث بحيث يتّصل بعضُها ببعض مع مراعاة التسلسل الزمنيّ لحدوثها.
و تُجمع على سرود. ومثناها سردان.",ضبط جودة، توثيق، برمجة,,
scheme - schema,مخطط - مخططات,,قواعد بيانات,,
scope,مجال,,برمجة، توثيق,,
screenshot,لقطة,لقطة من الشاشة - صورة حاضرة من الشاشة,حوسبة,,
script,مخطوطة,,برمجة، إدارة أنظمة,,
scroll bar,شريط التمرير,,واجهة مستخدم,,
Search Engine ,محرك البحث,,حوسبة,,
Search Engine Optimization,تحسين (نتائج) محركات البحث ,,حوسبة,,
Security Certificate - aka SSL Certificate,شهادة الأمان,,حوسبة,,
Selection Criteria,أُسس الاختيار,,عام,,
Sequence,تسلسل,,برمجة ، قواعد بيانات,,
Server , خادم,,إدارة أنظمة,,
Service , خِدمة,,إدارة أنظمة,,
Session,جلسة,,شابكة,,
Set,مجموعة,,برمجة,,
Share,تشارك - مشاركة,,حوسبة,,
Shutdown,الإيقاف ( عن العمل),,إدارة أنظمة,,
side bar,شريط جانبي,,واجهة مستخدم,,
Site,مَوقع,,شابكة,,
skip,يَتَخَطّى,,حوسبة,,
slide (n) - slide (v),شريحة - ينزلق,,حوسبة,,
Social Network,شبكة اجتماعية,,عام ,,
socket,مَقبس,,شبكات,,
Sort,يرتب - ترتيب,,حوسبة,,
source code,نَص مصدري,,برمجة,,
Speaker,سمّاعة,,حوسبة,,
Speakerphone,مُكبر صوت,,عام,,
Specifications,مواصفات,,توثيق,,
sporadic,(بشكل) متفرق ومتباعد,,عام,,
spread sheet,بيانات مجدولة,,حوسبة,,
stability,استقرار,,إدارة أنظمة,,
stack,كَومة,,برمجة,,
standard,مِعياري,,حوسبة,,
Start up - boot,الإقلاع,,إدارة أنظمة,,
status,حالة,,حوسبة,,
Status Quo,الوضع الراهن,,عام,,
string,سلسلة,,برمجة,,
structure,هيكلية,,برمجة، قواعد بيانات,,
sub,جُزء ، جُزئي,,عام,,
Subject,موضوع,,عام,,
Submit,تَسليم,,واجهة مستخدم,,
Success - Fail,نجاح - فشل,,حوسبة,,
synchronization,تَزامُن,,حوسبة,,
Tab,باب,,واجهة مستخدم,,
Tab key,مفتاح الجدولة,,حوسبة,,
table , جدول,,قواعد بيانات,,
Tablet,حاسوب لوحي,,حوسبة,,
Tag,وَسْم و تجمع على وسوم,,واجهة مستخدم,,
tar (ball),صُرَّة,.tar.gz and .tgz files,إدارة أنظمة,,
task , مَهَمّة,,عام,,
tcp / connection,وصلة \ شبكة,,شبكات,,
template,قالب,,حوسبة,,
test,فحص - اختبار,,ضبط جودة,,
Theme,المَظهَر,,واجهة مستخدم,,
Thin layer,طبقة رقيقة,,برمجة,,
thread , خيط أو مسار تنفيذ,,برمجة,,
"Threshold
",عَتَبة,,حوسبة,,
throughput,مُعَدّل تدفق,,إدارة أنظمة,,
thumbnail,صورة مصغرة,,واجهة مستخدم,,
Tick,دَقْة,,حوسبة,,
ticket , تَذكرة,,ضبط جودة,,
Time-window / window of time,نافذة زمنية,,حوسبة,,
timeout,انقضاء المُهلة,,حوسبة,,
Timestamp,نُقطة أو طُبعة زمنية,,حوسبة,,
Tip,إرشاد,,حوسبة,,
Tittle,عنوان,,عام,,
Token - Tokenizer,قِطعة - مُقَطّع,,برمجة,,
Trace - Debug,يتتبع,,برمجة,,
Track - tracker,تَتَبُع - مُتَتَبّع,,حوسبة,,
traffic,حركة مرور,,شابكة,,
Transaction,صَفقة,,قواعد بيانات,,
"Trigger
",استثارة - يثير ،  إطلاق - يُطلق,إطلاق تنبيه أو إجراء أو حدث,واجهة مستخدم,,
True - False,صَواب - خطأ,,عام,,
Try  and Catch,مُحاولة و إمساك,,برمجة,,
Tuning,تَوليف,,حوسبة,,
unique,فريد,,قواعد بيانات,,
update,تحديث,,حوسبة,,
Upload,تَحميل,,شابكة,,
url , رابط شابكة,,شبكات,,
user,مُستَخدِم,,حوسبة,,
User Interface (UI) / Graphical User Interface (GUI),واجهة مُستَخدِم، واجهة مُستَخدِم رسومية,,واجهة مستخدم,,
User Profile,ملف المستخدم,,حوسبة,,
Validate,تحقق,,ضبط جودة,,
value,قيمة,,حوسبة,,
variables, مُتغيرات,,برمجة,,
Verify,تثبت,,ضبط جودة,,
version,نُسخة ,,إدارة أنظمة,,
View (n) / View (v),مَشهَد - مُشاهَدَة,,برمجة,,
Virtual,افتراضي,,حوسبة,,
walk through,استعراض,,عام,,
Water mark,علامة مائية ,,حوسبة,,
World Wide Web,الشبكة العالمية,,شابكة,,
Wrapper,مُحَوِّط,,برمجة,,
zip code,رمز المنطقة البريدي ,,عام,,روان 
routine,رتيب، نظامي، معتاد,,عام,,
descrepency,تفاوت أو تباين,,عام,,
Backward compatible,lتوافق (بأثر) رجعي,,برمجة,,
Call back,نداء راجع - مناداة راجعة,,برمجة,,
Double,ضعفين ,,عام,,
Call,مكالمة,,عام,,
Distrubtion or breakdown,توزيع,,عام,,
Cinema,دار عرض,,عام,,
Video,مرئي,,عام,,
Audio,سمعي,,,,
Play / Player,تشغيل - مُشغّل و في حال المرئيات عُرب على عارض و مستعرض,,,,
Movie - Film,شريط تصوير حركي، شريط مرئي، مشهد - اختصارا شريط,,,,
play,مسرحية,,,,
Cast,أدوار الممثلين - الأدوار,,,,
Mockups,تصاميم أولية,,,,
